Name,Year,GS,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS
Ben Oglivie,1983,,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Ben Oglivie,1982,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ben Oglivie,1980,as LF,1,3,2,0,0,0,0,0,0,0,0,1,1,0,0.333,0,0.333
Ben Sheets,2008,as P,1,,,,,,,,,,,,,,,,
Ben Sheets,2007,,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Ben Sheets,2004,,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Ben Sheets,2001,,1,,,,,,,,,,,,,,,,
Ben Zobrist,2013,,0,,,,,,,,,,,,,,,,
Ben Zobrist,2009,,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Benito Santiago,2002,,1,2,2,0,1,0,0,0,0,0,0,0,1,0.5,0.5,0.5,1
Benito Santiago,1992,as C,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Benito Santiago,1991,as C,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Benito Santiago,1990,,0,,,,,,,,,,,,,,,,
Benito Santiago,1989,as C,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Bernie Williams,2001,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bernie Williams,2000,as CF,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bernie Williams,1999,,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Bernie Williams,1998,,0,,,,,,,,,,,,,,,,
Bernie Williams,1997,,1,1,0,1,0,0,0,0,0,0,0,1,0,,1,,
Bert Blyleven,1985,,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Bert Blyleven,1973,,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Bert Campaneris,1977,,1,2,1,1,0,0,0,0,0,0,0,1,1,0,0.5,0,0.5
Bert Campaneris,1975,as SS,1,2,2,0,2,0,0,0,0,0,0,0,0,1,1,1,2
Bert Campaneris,1974,as SS,1,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Bert Campaneris,1973,as SS,1,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Bert Campaneris,1972,,0,,,,,,,,,,,,,,,,
Bert Campaneris,1968,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bert Haas,1947,,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,2
Biff Pocoroba,1978,,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Bill Buckner,1981,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bill Campbell,1977,,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Bill Caudill,1984,,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Bill Dawley,1983,,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Bill Dickey,1946,,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Bill Dickey,1943,,0,,,,,,,,,,,,,,,,
Bill Dickey,1942,,0,,,,,,,,,,,,,,,,
Bill Dickey,1941,as C,1,3,3,0,1,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.667
Bill Dickey,1940,as C,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
